gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 1,95464627874216      xs: 2,19401626575722
Ranges of Euler angles: 0   0   90   90   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
 t 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
 x 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
 y 126739,03419  51560,42274  75178,61146  12349,24224  91428,12386      0,46969
      Qextv        Qabsv        Qscav        Qbakv        Qprv     <cos(theta)>
 t      2,54140      1,03390      1,50750      0,24763      1,83334      0,46969
 x      2,54140      1,03390      1,50750      0,24763      1,83334      0,46969
 y      2,54140      1,03390      1,50750      0,24763      1,83334      0,46969
      Qexts        Qabss        Qscas        Qbaks        Qprs     <cos(theta)>
 t      2,01711      0,82061      1,19650      0,19654      1,45512      0,46969
 x      2,01711      0,82061      1,19650      0,19654      1,45512      0,46969
 y      2,01711      0,82061      1,19650      0,19654      1,45512      0,46969
    s.a.    i11+i22     pol.       i11          i21          i12          i22
    0,0     17,03466   0,0000      8,51733      0,00000      0,00000      8,51733
    1,0     17,38523   0,0002      8,69411      0,00000      0,00000      8,69112
    2,0     17,71260   0,0007      8,86231      0,00000      0,00000      8,85029
    3,0     18,01555   0,0015      9,02134      0,00000      0,00000      8,99421
    4,0     18,29301   0,0026      9,17067      0,00000      0,00000      9,12234
    5,0     18,54403   0,0041      9,30979      0,00000      0,00000      9,23424
    6,0     18,76778   0,0058      9,43824      0,00000      0,00000      9,32954
    7,0     18,96357   0,0078      9,55558      0,00000      0,00000      9,40800
    8,0     19,13086   0,0100      9,66143      0,00000      0,00000      9,46943
    9,0     19,26924   0,0125      9,75545      0,00000      0,00000      9,51378
   10,0     19,37843   0,0153      9,83737      0,00000      0,00000      9,54107
   11,0     19,45833   0,0183      9,90693      0,00000      0,00000      9,55140
   12,0     19,50896   0,0215      9,96395      0,00000      0,00000      9,54500
   13,0     19,53046   0,0249     10,00830      0,00000      0,00000      9,52216
   14,0     19,52313   0,0285     10,03989      0,00000      0,00000      9,48324
   15,0     19,48740   0,0323     10,05868      0,00000      0,00000      9,42872
   16,0     19,42381   0,0363     10,06470      0,00000      0,00000      9,35912
   17,0     19,33305   0,0405     10,05801      0,00000      0,00000      9,27503
   18,0     19,21588   0,0448     10,03874      0,00000      0,00000      9,17713
   19,0     19,07319   0,0493     10,00706      0,00000      0,00000      9,06613
   20,0     18,90598   0,0540      9,96319      0,00000      0,00000      8,94279
   21,0     18,71530   0,0587      9,90738      0,00000      0,00000      8,80792
   22,0     18,50230   0,0636      9,83995      0,00000      0,00000      8,66236
   23,0     18,26821   0,0687      9,76123      0,00000      0,00000      8,50698
   24,0     18,01429   0,0738      9,67162      0,00000      0,00000      8,34268
   25,0     17,74188   0,0790      9,57153      0,00000      0,00000      8,17035
   26,0     17,45232   0,0843      9,46142      0,00000      0,00000      7,99090
   27,0     17,14701   0,0896      9,34176      0,00000      0,00000      7,80525
   28,0     16,82737   0,0950      9,21307      0,00000      0,00000      7,61430
   29,0     16,49481   0,1005      9,07587      0,00000      0,00000      7,41895
   30,0     16,15076   0,1059      8,93070      0,00000      0,00000      7,22006
   31,0     15,79663   0,1114      8,77814      0,00000      0,00000      7,01849
   32,0     15,43382   0,1169      8,61876      0,00000      0,00000      6,81505
   33,0     15,06370   0,1223      8,45314      0,00000      0,00000      6,61055
   34,0     14,68762   0,1277      8,28187      0,00000      0,00000      6,40574
   35,0     14,30688   0,1331      8,10555      0,00000      0,00000      6,20133
   36,0     13,92276   0,1384      7,92475      0,00000      0,00000      5,99800
   37,0     13,53646   0,1436      7,74008      0,00000      0,00000      5,79638
   38,0     13,14916   0,1487      7,55210      0,00000      0,00000      5,59706
   39,0     12,76195   0,1536      7,36139      0,00000      0,00000      5,40056
   40,0     12,37590   0,1585      7,16851      0,00000      0,00000      5,20740
   41,0     11,99198   0,1631      6,97399      0,00000      0,00000      5,01799
   42,0     11,61112   0,1676      6,77837      0,00000      0,00000      4,83276
   43,0     11,23418   0,1718      6,58215      0,00000      0,00000      4,65203
   44,0     10,86193   0,1758      6,38582      0,00000      0,00000      4,47611
   45,0     10,49511   0,1796      6,18986      0,00000      0,00000      4,30525
   46,0     10,13437   0,1830      5,99469      0,00000      0,00000      4,13968
   47,0      9,78029   0,1862      5,80074      0,00000      0,00000      3,97955
   48,0      9,43342   0,1891      5,60842      0,00000      0,00000      3,82500
   49,0      9,09419   0,1915      5,41807      0,00000      0,00000      3,67612
   50,0      8,76302   0,1937      5,23006      0,00000      0,00000      3,53296
   51,0      8,44024   0,1954      5,04469      0,00000      0,00000      3,39554
   52,0      8,12613   0,1967      4,86227      0,00000      0,00000      3,26387
   53,0      7,82093   0,1976      4,68305      0,00000      0,00000      3,13788
   54,0      7,52480   0,1980      4,50727      0,00000      0,00000      3,01754
   55,0      7,23788   0,1979      4,33514      0,00000      0,00000      2,90273
   56,0      6,96024   0,1973      4,16687      0,00000      0,00000      2,79337
   57,0      6,69191   0,1963      4,00260      0,00000      0,00000      2,68931
   58,0      6,43291   0,1946      3,84249      0,00000      0,00000      2,59042
   59,0      6,18318   0,1925      3,68664      0,00000      0,00000      2,49654
   60,0      5,94265   0,1898      3,53516      0,00000      0,00000      2,40749
   61,0      5,71122   0,1865      3,38812      0,00000      0,00000      2,32310
   62,0      5,48877   0,1826      3,24558      0,00000      0,00000      2,24319
   63,0      5,27512   0,1782      3,10757      0,00000      0,00000      2,16755
   64,0      5,07011   0,1732      2,97411      0,00000      0,00000      2,09599
   65,0      4,87353   0,1676      2,84521      0,00000      0,00000      2,02832
   66,0      4,68517   0,1615      2,72085      0,00000      0,00000      1,96432
   67,0      4,50481   0,1548      2,60101      0,00000      0,00000      1,90380
   68,0      4,33221   0,1475      2,48565      0,00000      0,00000      1,84657
   69,0      4,16712   0,1397      2,37471      0,00000      0,00000      1,79241
   70,0      4,00927   0,1314      2,26813      0,00000      0,00000      1,74114
   71,0      3,85842   0,1227      2,16584      0,00000      0,00000      1,69258
   72,0      3,71429   0,1134      2,06777      0,00000      0,00000      1,64652
   73,0      3,57662   0,1037      1,97382      0,00000      0,00000      1,60281
   74,0      3,44515   0,0937      1,88389      0,00000      0,00000      1,56125
   75,0      3,31960   0,0832      1,79790      0,00000      0,00000      1,52170
   76,0      3,19971   0,0724      1,71573      0,00000      0,00000      1,48398
   77,0      3,08522   0,0614      1,63727      0,00000      0,00000      1,44795
   78,0      2,97588   0,0501      1,56242      0,00000      0,00000      1,41346
   79,0      2,87143   0,0385      1,49105      0,00000      0,00000      1,38037
   80,0      2,77163   0,0269      1,42306      0,00000      0,00000      1,34856
