gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 0,195464627874216      xs: 0,219401626575722
Ranges of Euler angles: 0   0   0   0   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
 t      0,00046      0,00045      0,00001      0,00003      0,00046      0,00433
 x      0,00051      0,00049      0,00002      0,00003      0,00051      0,00332
 y      0,00042      0,00042      0,00001      0,00003      0,00042      0,00686
      Qextv        Qabsv        Qscav        Qbakv        Qprv     <cos(theta)>
 t      0,00932      0,00908      0,00029      0,00057      0,00931      0,00433
 x      0,01014      0,00980      0,00042      0,00062      0,01014      0,00332
 y      0,00849      0,00835      0,00017      0,00053      0,00849      0,00686
      Qexts        Qabss        Qscas        Qbaks        Qprs     <cos(theta)>
 t      0,00739      0,00720      0,00023      0,00046      0,00739      0,00433
 x      0,00805      0,00778      0,00033      0,00049      0,00805      0,00332
 y      0,00674      0,00663      0,00013      0,00042      0,00674      0,00686
    s.a.    i11+i22     pol.       i11          i21          i12          i22
    0,0      0,00001  -0,0787      0,00001      0,00000      0,00000      0,00001
    1,0      0,00001  -0,0785      0,00001      0,00000      0,00000      0,00001
    2,0      0,00001  -0,0781      0,00001      0,00000      0,00000      0,00001
    3,0      0,00001  -0,0773      0,00001      0,00000      0,00000      0,00001
    4,0      0,00001  -0,0762      0,00001      0,00000      0,00000      0,00001
    5,0      0,00001  -0,0749      0,00001      0,00000      0,00000      0,00001
    6,0      0,00001  -0,0732      0,00001      0,00000      0,00000      0,00001
    7,0      0,00001  -0,0712      0,00001      0,00000      0,00000      0,00001
    8,0      0,00001  -0,0690      0,00001      0,00000      0,00000      0,00001
    9,0      0,00001  -0,0664      0,00001      0,00000      0,00000      0,00001
   10,0      0,00001  -0,0635      0,00001      0,00000      0,00000      0,00001
   11,0      0,00001  -0,0603      0,00001      0,00000      0,00000      0,00001
   12,0      0,00001  -0,0567      0,00001      0,00000      0,00000      0,00001
   13,0      0,00001  -0,0529      0,00001      0,00000      0,00000      0,00001
   14,0      0,00001  -0,0487      0,00001      0,00000      0,00000      0,00001
   15,0      0,00001  -0,0442      0,00001      0,00000      0,00000      0,00001
   16,0      0,00001  -0,0394      0,00001      0,00000      0,00000      0,00001
   17,0      0,00001  -0,0343      0,00001      0,00000      0,00000      0,00001
   18,0      0,00001  -0,0288      0,00001      0,00000      0,00000      0,00001
   19,0      0,00001  -0,0230      0,00001      0,00000      0,00000      0,00001
   20,0      0,00001  -0,0168      0,00001      0,00000      0,00000      0,00001
   21,0      0,00001  -0,0103      0,00001      0,00000      0,00000      0,00001
   22,0      0,00001  -0,0034      0,00001      0,00000      0,00000      0,00001
   23,0      0,00001   0,0038      0,00001      0,00000      0,00000      0,00001
   24,0      0,00001   0,0113      0,00001      0,00000      0,00000      0,00001
   25,0      0,00001   0,0193      0,00001      0,00000      0,00000      0,00000
   26,0      0,00001   0,0276      0,00001      0,00000      0,00000      0,00000
   27,0      0,00001   0,0362      0,00001      0,00000      0,00000      0,00000
   28,0      0,00001   0,0453      0,00001      0,00000      0,00000      0,00000
   29,0      0,00001   0,0547      0,00001      0,00000      0,00000      0,00000
   30,0      0,00001   0,0645      0,00001      0,00000      0,00000      0,00000
   31,0      0,00001   0,0747      0,00001      0,00000      0,00000      0,00000
   32,0      0,00001   0,0853      0,00001      0,00000      0,00000      0,00000
   33,0      0,00001   0,0963      0,00001      0,00000      0,00000      0,00000
   34,0      0,00001   0,1077      0,00001      0,00000      0,00000      0,00000
   35,0      0,00001   0,1195      0,00001      0,00000      0,00000      0,00000
   36,0      0,00001   0,1317      0,00001      0,00000      0,00000      0,00000
   37,0      0,00001   0,1444      0,00001      0,00000      0,00000      0,00000
   38,0      0,00001   0,1574      0,00001      0,00000      0,00000      0,00000
   39,0      0,00001   0,1709      0,00001      0,00000      0,00000      0,00000
   40,0      0,00001   0,1848      0,00001      0,00000      0,00000      0,00000
   41,0      0,00001   0,1991      0,00001      0,00000      0,00000      0,00000
   42,0      0,00001   0,2138      0,00001      0,00000      0,00000      0,00000
   43,0      0,00001   0,2290      0,00001      0,00000      0,00000      0,00000
   44,0      0,00001   0,2446      0,00001      0,00000      0,00000      0,00000
   45,0      0,00001   0,2606      0,00001      0,00000      0,00000      0,00000
   46,0      0,00001   0,2770      0,00001      0,00000      0,00000      0,00000
   47,0      0,00001   0,2938      0,00001      0,00000      0,00000      0,00000
   48,0      0,00001   0,3111      0,00001      0,00000      0,00000      0,00000
   49,0      0,00001   0,3287      0,00001      0,00000      0,00000      0,00000
   50,0      0,00001   0,3468      0,00001      0,00000      0,00000      0,00000
   51,0      0,00001   0,3652      0,00001      0,00000      0,00000      0,00000
   52,0      0,00001   0,3840      0,00001      0,00000      0,00000      0,00000
   53,0      0,00001   0,4031      0,00001      0,00000      0,00000      0,00000
   54,0      0,00001   0,4226      0,00001      0,00000      0,00000      0,00000
   55,0      0,00001   0,4424      0,00001      0,00000      0,00000      0,00000
   56,0      0,00001   0,4625      0,00001      0,00000      0,00000      0,00000
   57,0      0,00001   0,4829      0,00001      0,00000      0,00000      0,00000
   58,0      0,00001   0,5035      0,00001      0,00000      0,00000      0,00000
   59,0      0,00001   0,5244      0,00001      0,00000      0,00000      0,00000
   60,0      0,00001   0,5455      0,00001      0,00000      0,00000      0,00000
   61,0      0,00001   0,5667      0,00001      0,00000      0,00000      0,00000
   62,0      0,00001   0,5880      0,00001      0,00000      0,00000      0,00000
   63,0      0,00001   0,6094      0,00001      0,00000      0,00000      0,00000
   64,0      0,00001   0,6308      0,00001      0,00000      0,00000      0,00000
   65,0      0,00001   0,6522      0,00001      0,00000      0,00000      0,00000
   66,0      0,00001   0,6735      0,00001      0,00000      0,00000      0,00000
   67,0      0,00001   0,6947      0,00001      0,00000      0,00000      0,00000
   68,0      0,00001   0,7158      0,00001      0,00000      0,00000      0,00000
   69,0      0,00001   0,7365      0,00001      0,00000      0,00000      0,00000
   70,0      0,00001   0,7570      0,00001      0,00000      0,00000      0,00000
   71,0      0,00001   0,7771      0,00001      0,00000      0,00000      0,00000
   72,0      0,00001   0,7968      0,00001      0,00000      0,00000      0,00000
   73,0      0,00001   0,8159      0,00001      0,00000      0,00000      0,00000
   74,0      0,00001   0,8345      0,00001      0,00000      0,00000      0,00000
   75,0      0,00001   0,8524      0,00001      0,00000      0,00000      0,00000
   76,0      0,00001   0,8697      0,00001      0,00000      0,00000      0,00000
   77,0      0,00001   0,8861      0,00001      0,00000      0,00000      0,00000
   78,0      0,00001   0,9016      0,00000      0,00000      0,00000      0,00000
   79,0      0,00001   0,9162      0,00000      0,00000      0,00000      0,00000
   80,0      0,00001   0,9298      0,00000      0,00000      0,00000      0,00000
   81,0      0,00001   0,9424      0,00000      0,00000      0,00000      0,00000
   82,0      0,00001   0,9538      0,00000      0,00000      0,00000      0,00000
   83,0      0,00001   0,9640      0,00000      0,00000      0,00000      0,00000
   84,0      0,00001   0,9730      0,00000      0,00000      0,00000      0,00000
   85,0      0,00001   0,9807      0,00000      0,00000      0,00000      0,00000
   86,0      0,00001   0,9870      0,00000      0,00000      0,00000      0,00000
   87,0      0,00001   0,9920      0,00000      0,00000      0,00000      0,00000
   88,0      0,00000   0,9957      0,00000      0,00000      0,00000      0,00000
   89,0      0,00000   0,9979      0,00000      0,00000      0,00000      0,00000
   90,0      0,00000   0,9987      0,00000      0,00000      0,00000      0,00000
   91,0      0,00000   0,9981      0,00000      0,00000      0,00000      0,00000
   92,0      0,00000   0,9960      0,00000      0,00000      0,00000      0,00000
   93,0      0,00001   0,9926      0,00000      0,00000      0,00000      0,00000
   94,0      0,00001   0,9877      0,00000      0,00000      0,00000      0,00000
   95,0      0,00001   0,9815      0,00000      0,00000      0,00000      0,00000
   96,0      0,00001   0,9740      0,00000      0,00000      0,00000      0,00000
   97,0      0,00001   0,9652      0,00000      0,00000      0,00000      0,00000
   98,0      0,00001   0,9551      0,00000      0,00000      0,00000      0,00000
   99,0      0,00001   0,9438      0,00000      0,00000      0,00000      0,00000
  100,0      0,00001   0,9314      0,00000      0,00000      0,00000      0,00000
  101,0      0,00001   0,9179      0,00000      0,00000      0,00000      0,00000
  102,0      0,00001   0,9034      0,00000      0,00000      0,00000      0,00000
  103,0      0,00001   0,8880      0,00000      0,00000      0,00000      0,00000
  104,0      0,00001   0,8716      0,00000      0,00000      0,00000      0,00000
  105,0      0,00001   0,8545      0,00000      0,00000      0,00000      0,00000
  106,0      0,00001   0,8366      0,00000      0,00000      0,00000      0,00000
  107,0      0,00001   0,8181      0,00000      0,00000      0,00000      0,00000
  108,0      0,00001   0,7990      0,00000      0,00000      0,00000      0,00000
  109,0      0,00001   0,7793      0,00000      0,00000      0,00000      0,00000
  110,0      0,00001   0,7593      0,00000      0,00000      0,00000      0,00000
  111,0      0,00001   0,7388      0,00000      0,00000      0,00000      0,00000
  112,0      0,00001   0,7180      0,00000      0,00000      0,00000      0,00000
  113,0      0,00001   0,6970      0,00000      0,00000      0,00000      0,00000
  114,0      0,00001   0,6757      0,00000      0,00000      0,00000      0,00000
  115,0      0,00001   0,6544      0,00000      0,00000      0,00000      0,00000
  116,0      0,00001   0,6330      0,00000      0,00000      0,00000      0,00000
  117,0      0,00001   0,6115      0,00000      0,00000      0,00000      0,00000
  118,0      0,00001   0,5901      0,00000      0,00000      0,00000      0,00000
  119,0      0,00001   0,5687      0,00000      0,00000      0,00000      0,00000
  120,0      0,00001   0,5474      0,00000      0,00000      0,00000      0,00000
  121,0      0,00001   0,5263      0,00000      0,00000      0,00000      0,00000
  122,0      0,00001   0,5054      0,00000      0,00000      0,00000      0,00000
  123,0      0,00001   0,4847      0,00000      0,00000      0,00000      0,00000
  124,0      0,00001   0,4642      0,00000      0,00000      0,00000      0,00000
  125,0      0,00001   0,4441      0,00000      0,00000      0,00000      0,00000
  126,0      0,00001   0,4242      0,00000      0,00000      0,00000      0,00000
  127,0      0,00001   0,4046      0,00000      0,00000      0,00000      0,00000
  128,0      0,00001   0,3854      0,00000      0,00000      0,00000      0,00000
  129,0      0,00001   0,3665      0,00000      0,00000      0,00000      0,00000
  130,0      0,00001   0,3480      0,00000      0,00000      0,00000      0,00000
  131,0      0,00001   0,3299      0,00000      0,00000      0,00000      0,00000
  132,0      0,00001   0,3122      0,00000      0,00000      0,00000      0,00000
  133,0      0,00001   0,2948      0,00000      0,00000      0,00000      0,00000
  134,0      0,00001   0,2779      0,00001      0,00000      0,00000      0,00000
  135,0      0,00001   0,2614      0,00001      0,00000      0,00000      0,00000
  136,0      0,00001   0,2453      0,00001      0,00000      0,00000      0,00000
  137,0      0,00001   0,2297      0,00001      0,00000      0,00000      0,00000
  138,0      0,00001   0,2145      0,00001      0,00000      0,00000      0,00000
  139,0      0,00001   0,1996      0,00001      0,00000      0,00000      0,00000
  140,0      0,00001   0,1853      0,00001      0,00000      0,00000      0,00000
  141,0      0,00001   0,1713      0,00001      0,00000      0,00000      0,00000
  142,0      0,00001   0,1578      0,00001      0,00000      0,00000      0,00000
  143,0      0,00001   0,1446      0,00001      0,00000      0,00000      0,00000
  144,0      0,00001   0,1320      0,00001      0,00000      0,00000      0,00000
  145,0      0,00001   0,1197      0,00001      0,00000      0,00000      0,00000
  146,0      0,00001   0,1078      0,00001      0,00000      0,00000      0,00000
  147,0      0,00001   0,0963      0,00001      0,00000      0,00000      0,00000
  148,0      0,00001   0,0853      0,00001      0,00000      0,00000      0,00000
  149,0      0,00001   0,0746      0,00001      0,00000      0,00000      0,00000
  150,0      0,00001   0,0644      0,00001      0,00000      0,00000      0,00000
  151,0      0,00001   0,0545      0,00001      0,00000      0,00000      0,00000
  152,0      0,00001   0,0451      0,00001      0,00000      0,00000      0,00000
  153,0      0,00001   0,0360      0,00001      0,00000      0,00000      0,00000
  154,0      0,00001   0,0272      0,00001      0,00000      0,00000      0,00000
  155,0      0,00001   0,0189      0,00001      0,00000      0,00000      0,00000
  156,0      0,00001   0,0109      0,00001      0,00000      0,00000      0,00000
  157,0      0,00001   0,0033      0,00001      0,00000      0,00000      0,00000
  158,0      0,00001  -0,0039      0,00001      0,00000      0,00000      0,00001
  159,0      0,00001  -0,0108      0,00001      0,00000      0,00000      0,00001
  160,0      0,00001  -0,0174      0,00001      0,00000      0,00000      0,00001
  161,0      0,00001  -0,0235      0,00001      0,00000      0,00000      0,00001
  162,0      0,00001  -0,0294      0,00001      0,00000      0,00000      0,00001
  163,0      0,00001  -0,0349      0,00001      0,00000      0,00000      0,00001
  164,0      0,00001  -0,0401      0,00001      0,00000      0,00000      0,00001
  165,0      0,00001  -0,0449      0,00001      0,00000      0,00000      0,00001
  166,0      0,00001  -0,0494      0,00001      0,00000      0,00000      0,00001
  167,0      0,00001  -0,0536      0,00001      0,00000      0,00000      0,00001
  168,0      0,00001  -0,0575      0,00001      0,00000      0,00000      0,00001
  169,0      0,00001  -0,0610      0,00001      0,00000      0,00000      0,00001
  170,0      0,00001  -0,0643      0,00001      0,00000      0,00000      0,00001
  171,0      0,00001  -0,0672      0,00001      0,00000      0,00000      0,00001
  172,0      0,00001  -0,0698      0,00001      0,00000      0,00000      0,00001
  173,0      0,00001  -0,0721      0,00001      0,00000      0,00000      0,00001
  174,0      0,00001  -0,0741      0,00001      0,00000      0,00000      0,00001
  175,0      0,00001  -0,0757      0,00001      0,00000      0,00000      0,00001
  176,0      0,00001  -0,0771      0,00001      0,00000      0,00000      0,00001
  177,0      0,00001  -0,0782      0,00001      0,00000      0,00000      0,00001
  178,0      0,00001  -0,0789      0,00001      0,00000      0,00000      0,00001
  179,0      0,00001  -0,0794      0,00001      0,00000      0,00000      0,00001
  180,0      0,00001  -0,0795      0,00001      0,00000      0,00000      0,00001
