gmm01f.out        --- input file: Ag-Si-2s-405nm.k     xv: 0,781858511496864      xs: 0,877606506302887
Ranges of Euler angles: 0   0   0   0   0   0
nbeta,nthet,nphai:    1    1    1      # of orientations averaged: 1
       Cext         Cabs         Csca         Cbak         Cpr     <cos(theta)>
 t   7841,77012   6756,14568   1085,62436    394,70770   7798,62795      0,03974
 x   7841,77012   6756,14568   1085,62436    394,70770   7798,62795      0,03974
 y   7841,77012   6756,14568   1085,62436    394,70770   7798,62795      0,03974
      Qextv        Qabsv        Qscav        Qbakv        Qprv     <cos(theta)>
 t      0,98278      0,84673      0,13606      0,04947      0,97738      0,03974
 x      0,98278      0,84673      0,13606      0,04947      0,97738      0,03974
 y      0,98278      0,84673      0,13606      0,04947      0,97738      0,03974
      Qexts        Qabss        Qscas        Qbaks        Qprs     <cos(theta)>
 t      0,78004      0,67205      0,10799      0,03926      0,77574      0,03974
 x      0,78004      0,67205      0,10799      0,03926      0,77574      0,03974
 y      0,78004      0,67205      0,10799      0,03926      0,77574      0,03974
    s.a.    i11+i22     pol.       i11          i21          i12          i22
    0,0      0,11920   0,0000      0,05957      0,00003      0,00003      0,05957
    1,0      0,11917   0,0002      0,05956      0,00003      0,00003      0,05955
    2,0      0,11907   0,0006      0,05954      0,00003      0,00003      0,05947
    3,0      0,11892   0,0014      0,05951      0,00003      0,00003      0,05935
    4,0      0,11870   0,0024      0,05946      0,00003      0,00003      0,05918
    5,0      0,11842   0,0038      0,05940      0,00003      0,00003      0,05896
    6,0      0,11808   0,0054      0,05933      0,00003      0,00003      0,05869
    7,0      0,11768   0,0074      0,05924      0,00003      0,00003      0,05837
    8,0      0,11721   0,0097      0,05914      0,00003      0,00003      0,05801
    9,0      0,11669   0,0122      0,05903      0,00003      0,00003      0,05760
   10,0      0,11611   0,0151      0,05890      0,00003      0,00003      0,05715
   11,0      0,11547   0,0183      0,05876      0,00003      0,00003      0,05665
   12,0      0,11477   0,0218      0,05861      0,00003      0,00003      0,05610
   13,0      0,11402   0,0256      0,05844      0,00003      0,00003      0,05552
   14,0      0,11321   0,0298      0,05826      0,00003      0,00003      0,05489
   15,0      0,11234   0,0342      0,05806      0,00003      0,00003      0,05422
   16,0      0,11143   0,0390      0,05785      0,00003      0,00003      0,05351
   17,0      0,11046   0,0441      0,05763      0,00003      0,00003      0,05276
   18,0      0,10944   0,0495      0,05740      0,00003      0,00003      0,05197
   19,0      0,10837   0,0553      0,05715      0,00003      0,00003      0,05115
   20,0      0,10725   0,0614      0,05688      0,00004      0,00003      0,05030
   21,0      0,10608   0,0678      0,05661      0,00004      0,00003      0,04941
   22,0      0,10487   0,0746      0,05632      0,00004      0,00003      0,04849
   23,0      0,10362   0,0817      0,05601      0,00004      0,00003      0,04754
   24,0      0,10233   0,0892      0,05569      0,00004      0,00003      0,04656
   25,0      0,10100   0,0970      0,05536      0,00004      0,00003      0,04556
   26,0      0,09962   0,1052      0,05502      0,00004      0,00003      0,04454
   27,0      0,09822   0,1138      0,05466      0,00004      0,00003      0,04349
   28,0      0,09678   0,1227      0,05429      0,00004      0,00003      0,04242
   29,0      0,09530   0,1319      0,05390      0,00004      0,00003      0,04133
   30,0      0,09380   0,1416      0,05350      0,00004      0,00003      0,04022
   31,0      0,09227   0,1516      0,05309      0,00005      0,00003      0,03910
   32,0      0,09071   0,1619      0,05266      0,00005      0,00003      0,03797
   33,0      0,08913   0,1727      0,05222      0,00005      0,00003      0,03683
   34,0      0,08753   0,1839      0,05177      0,00005      0,00003      0,03568
   35,0      0,08591   0,1954      0,05130      0,00005      0,00003      0,03452
   36,0      0,08427   0,2073      0,05083      0,00005      0,00003      0,03336
   37,0      0,08261   0,2196      0,05033      0,00005      0,00003      0,03219
   38,0      0,08094   0,2323      0,04983      0,00005      0,00003      0,03103
   39,0      0,07927   0,2454      0,04931      0,00006      0,00003      0,02986
   40,0      0,07758   0,2589      0,04879      0,00006      0,00003      0,02870
   41,0      0,07589   0,2727      0,04825      0,00006      0,00003      0,02755
   42,0      0,07419   0,2870      0,04769      0,00006      0,00003      0,02640
   43,0      0,07249   0,3016      0,04713      0,00006      0,00003      0,02527
   44,0      0,07079   0,3166      0,04656      0,00006      0,00003      0,02414
   45,0      0,06910   0,3320      0,04597      0,00007      0,00003      0,02303
   46,0      0,06740   0,3478      0,04538      0,00007      0,00003      0,02193
   47,0      0,06572   0,3640      0,04477      0,00007      0,00003      0,02085
   48,0      0,06404   0,3805      0,04415      0,00007      0,00003      0,01979
   49,0      0,06237   0,3973      0,04353      0,00007      0,00003      0,01875
   50,0      0,06072   0,4145      0,04289      0,00008      0,00003      0,01772
   51,0      0,05908   0,4320      0,04225      0,00008      0,00003      0,01673
   52,0      0,05745   0,4498      0,04160      0,00008      0,00003      0,01575
   53,0      0,05585   0,4680      0,04094      0,00008      0,00003      0,01480
   54,0      0,05426   0,4864      0,04027      0,00008      0,00002      0,01388
   55,0      0,05269   0,5050      0,03959      0,00009      0,00002      0,01298
   56,0      0,05115   0,5239      0,03891      0,00009      0,00002      0,01212
   57,0      0,04962   0,5430      0,03823      0,00009      0,00002      0,01128
   58,0      0,04813   0,5623      0,03753      0,00009      0,00002      0,01047
   59,0      0,04665   0,5817      0,03684      0,00010      0,00002      0,00970
   60,0      0,04521   0,6013      0,03614      0,00010      0,00002      0,00895
   61,0      0,04379   0,6209      0,03543      0,00010      0,00002      0,00824
   62,0      0,04240   0,6405      0,03472      0,00010      0,00002      0,00756
   63,0      0,04105   0,6602      0,03401      0,00011      0,00002      0,00691
   64,0      0,03972   0,6798      0,03330      0,00011      0,00002      0,00630
   65,0      0,03842   0,6993      0,03258      0,00011      0,00002      0,00571
   66,0      0,03716   0,7187      0,03186      0,00012      0,00002      0,00516
   67,0      0,03592   0,7378      0,03115      0,00012      0,00001      0,00464
   68,0      0,03472   0,7567      0,03043      0,00012      0,00001      0,00416
   69,0      0,03356   0,7753      0,02972      0,00012      0,00001      0,00370
   70,0      0,03242   0,7935      0,02900      0,00013      0,00001      0,00328
   71,0      0,03132   0,8113      0,02829      0,00013      0,00001      0,00288
   72,0      0,03025   0,8286      0,02758      0,00013      0,00001      0,00252
   73,0      0,02921   0,8453      0,02688      0,00014      0,00001      0,00219
   74,0      0,02821   0,8614      0,02618      0,00014      0,00001      0,00188
   75,0      0,02724   0,8768      0,02548      0,00014      0,00001      0,00160
   76,0      0,02630   0,8914      0,02479      0,00014      0,00001      0,00135
   77,0      0,02539   0,9052      0,02411      0,00015      0,00001      0,00113
   78,0      0,02451   0,9181      0,02343      0,00015      0,00000      0,00093
   79,0      0,02366   0,9300      0,02276      0,00015      0,00000      0,00075
   80,0      0,02285   0,9410      0,02209      0,00016      0,00000      0,00059
   81,0      0,02206   0,9508      0,02144      0,00016      0,00000      0,00046
   82,0      0,02131   0,9596      0,02079      0,00016      0,00000      0,00035
   83,0      0,02058   0,9672      0,02016      0,00017      0,00000      0,00025
   84,0      0,01988   0,9736      0,01953      0,00017      0,00000      0,00018
   85,0      0,01920   0,9787      0,01891      0,00017      0,00000      0,00012
   86,0      0,01855   0,9826      0,01830      0,00017      0,00000      0,00007
   87,0      0,01793   0,9851      0,01771      0,00018      0,00000      0,00004
   88,0      0,01734   0,9864      0,01713      0,00018      0,00000      0,00003
   89,0      0,01676   0,9863      0,01656      0,00018      0,00000      0,00002
   90,0      0,01621   0,9849      0,01600      0,00019      0,00000      0,00003
   91,0      0,01569   0,9822      0,01545      0,00019      0,00000      0,00004
   92,0      0,01518   0,9782      0,01492      0,00019      0,00000      0,00007
   93,0      0,01470   0,9729      0,01440      0,00020      0,00000      0,00010
   94,0      0,01423   0,9664      0,01389      0,00020      0,00000      0,00014
